symbol,date,price
AMZN,Dec-08,51.28
AMZN,Jan-09,58.82
AMZN,Feb-09,64.79
AMZN,Mar-09,73.44
AMZN,Apr-09,80.52
AMZN,May-09,77.99
AMZN,Jun-09,83.66
AMZN,Jul-09,85.76
AMZN,Aug-09,81.19
AMZN,Sep-09,93.36
AMZN,Oct-09,118.81
AMZN,Nov-09,135.91
AMZN,Dec-09,134.52
AMZN,Jan-10,125.41
AMZN,Feb-10,118.4
AMZN,Mar-10,128.82
IBM,Jan-00,100.52
IBM,Feb-00,92.11
IBM,Mar-00,106.11
IBM,Apr-00,99.95
IBM,May-00,96.31
IBM,Jun-00,98.33
IBM,Jul-00,100.74
IBM,Aug-00,118.62
IBM,Sep-00,101.19
IBM,Oct-00,88.5
IBM,Nov-00,84.12
IBM,Dec-00,76.47
IBM,Jan-01,100.76
IBM,Feb-01,89.98
IBM,Mar-01,86.63
IBM,Apr-01,103.7
IBM,May-01,100.82
IBM,Jun-01,102.35
IBM,Jul-01,94.87
IBM,Aug-01,90.25
IBM,Sep-01,82.82
IBM,Oct-01,97.58
IBM,Nov-01,104.5
IBM,Dec-01,109.36
IBM,Jan-02,97.54
IBM,Feb-02,88.82
IBM,Mar-02,94.15
IBM,Apr-02,75.82
IBM,May-02,72.97
IBM,Jun-02,65.31
IBM,Jul-02,63.86
IBM,Aug-02,68.52
IBM,Sep-02,53.01
IBM,Oct-02,71.76
IBM,Nov-02,79.16
IBM,Dec-02,70.58
IBM,Jan-03,71.22
IBM,Feb-03,71.13
IBM,Mar-03,71.57
IBM,Apr-03,77.47
IBM,May-03,80.48
IBM,Jun-03,75.42
IBM,Jul-03,74.28
IBM,Aug-03,75.12
IBM,Sep-03,80.91
IBM,Oct-03,81.96
IBM,Nov-03,83.08
IBM,Dec-03,85.05
IBM,Jan-04,91.06
IBM,Feb-04,88.7
IBM,Mar-04,84.41
IBM,Apr-04,81.04
IBM,May-04,81.59
IBM,Jun-04,81.19
IBM,Jul-04,80.19
IBM,Aug-04,78.17
IBM,Sep-04,79.13
IBM,Oct-04,82.84
IBM,Nov-04,87.15
IBM,Dec-04,91.16
IBM,Jan-05,86.39
IBM,Feb-05,85.78
IBM,Mar-05,84.66
IBM,Apr-05,70.77
IBM,May-05,70.18
IBM,Jun-05,68.93
IBM,Jul-05,77.53
IBM,Aug-05,75.07
IBM,Sep-05,74.7
IBM,Oct-05,76.25
IBM,Nov-05,82.98
IBM,Dec-05,76.73
IBM,Jan-06,75.89
IBM,Feb-06,75.09
IBM,Mar-06,77.17
IBM,Apr-06,77.05
IBM,May-06,75.04
IBM,Jun-06,72.15
IBM,Jul-06,72.7
IBM,Aug-06,76.35
IBM,Sep-06,77.26
IBM,Oct-06,87.06
IBM,Nov-06,86.95
IBM,Dec-06,91.9
IBM,Jan-07,93.79
IBM,Feb-07,88.18
IBM,Mar-07,89.44
IBM,Apr-07,96.98
IBM,May-07,101.54
IBM,Jun-07,100.25
IBM,Jul-07,105.4
IBM,Aug-07,111.54
IBM,Sep-07,112.6
IBM,Oct-07,111
IBM,Nov-07,100.9
IBM,Dec-07,103.7
IBM,Jan-08,102.75
IBM,Feb-08,109.64
IBM,Mar-08,110.87
IBM,Apr-08,116.23
IBM,May-08,125.14
IBM,Jun-08,114.6
IBM,Jul-08,123.74
IBM,Aug-08,118.16
IBM,Sep-08,113.53
IBM,Oct-08,90.24
IBM,Nov-08,79.65
IBM,Dec-08,82.15
IBM,Jan-09,89.46
IBM,Feb-09,90.32
IBM,Mar-09,95.09
IBM,Apr-09,101.29
IBM,May-09,104.85
IBM,Jun-09,103.01
IBM,Jul-09,116.34
IBM,Aug-09,117
IBM,Sep-09,118.55
IBM,Oct-09,119.54
IBM,Nov-09,125.79
IBM,Dec-09,130.32
IBM,Jan-10,121.85
IBM,Feb-10,127.16
IBM,Mar-10,125.55
AAPL,Jan-00,25.94
AAPL,Feb-00,28.66
AAPL,Mar-00,33.95
AAPL,Apr-00,31.01
AAPL,May-00,21
AAPL,Jun-00,26.19
AAPL,Jul-00,25.41
AAPL,Aug-00,30.47
AAPL,Sep-00,12.88
AAPL,Oct-00,9.78
AAPL,Nov-00,8.25
AAPL,Dec-00,7.44
AAPL,Jan-01,10.81
AAPL,Feb-01,9.12
AAPL,Mar-01,11.03
AAPL,Apr-01,12.74
AAPL,May-01,9.98
AAPL,Jun-01,11.62
AAPL,Jul-01,9.4
AAPL,Aug-01,9.27
AAPL,Sep-01,7.76
AAPL,Oct-01,8.78
AAPL,Nov-01,10.65
AAPL,Dec-01,10.95
AAPL,Jan-02,12.36
AAPL,Feb-02,10.85
AAPL,Mar-02,11.84
AAPL,Apr-02,12.14
AAPL,May-02,11.65
AAPL,Jun-02,8.86
AAPL,Jul-02,7.63
AAPL,Aug-02,7.38
AAPL,Sep-02,7.25
AAPL,Oct-02,8.03
AAPL,Nov-02,7.75
AAPL,Dec-02,7.16
AAPL,Jan-03,7.18
AAPL,Feb-03,7.51
AAPL,Mar-03,7.07
AAPL,Apr-03,7.11
AAPL,May-03,8.98
AAPL,Jun-03,9.53
AAPL,Jul-03,10.54
AAPL,Aug-03,11.31
AAPL,Sep-03,10.36
AAPL,Oct-03,11.44
AAPL,Nov-03,10.45
AAPL,Dec-03,10.69
AAPL,Jan-04,11.28
AAPL,Feb-04,11.96
AAPL,Mar-04,13.52
AAPL,Apr-04,12.89
AAPL,May-04,14.03
AAPL,Jun-04,16.27
AAPL,Jul-04,16.17
AAPL,Aug-04,17.25
AAPL,Sep-04,19.38
AAPL,Oct-04,26.2
AAPL,Nov-04,33.53
AAPL,Dec-04,32.2
AAPL,Jan-05,38.45
AAPL,Feb-05,44.86
AAPL,Mar-05,41.67
AAPL,Apr-05,36.06
AAPL,May-05,39.76
AAPL,Jun-05,36.81
AAPL,Jul-05,42.65
AAPL,Aug-05,46.89
AAPL,Sep-05,53.61
AAPL,Oct-05,57.59
AAPL,Nov-05,67.82
AAPL,Dec-05,71.89
AAPL,Jan-06,75.51
AAPL,Feb-06,68.49
AAPL,Mar-06,62.72
AAPL,Apr-06,70.39
AAPL,May-06,59.77
AAPL,Jun-06,57.27
AAPL,Jul-06,67.96
AAPL,Aug-06,67.85
AAPL,Sep-06,76.98
AAPL,Oct-06,81.08
AAPL,Nov-06,91.66
AAPL,Dec-06,84.84
AAPL,Jan-07,85.73
AAPL,Feb-07,84.61
AAPL,Mar-07,92.91
AAPL,Apr-07,99.8
AAPL,May-07,121.19
AAPL,Jun-07,122.04
AAPL,Jul-07,131.76
AAPL,Aug-07,138.48
AAPL,Sep-07,153.47
AAPL,Oct-07,189.95
AAPL,Nov-07,182.22
AAPL,Dec-07,198.08
AAPL,Jan-08,135.36
AAPL,Feb-08,125.02
AAPL,Mar-08,143.5
AAPL,Apr-08,173.95
AAPL,May-08,188.75
AAPL,Jun-08,167.44
AAPL,Jul-08,158.95
AAPL,Aug-08,169.53
AAPL,Sep-08,113.66
AAPL,Oct-08,107.59
AAPL,Nov-08,92.67
AAPL,Dec-08,85.35
AAPL,Jan-09,90.13
AAPL,Feb-09,89.31
AAPL,Mar-09,105.12
AAPL,Apr-09,125.83
AAPL,May-09,135.81
AAPL,Jun-09,142.43
AAPL,Jul-09,163.39
AAPL,Aug-09,168.21
AAPL,Sep-09,185.35
AAPL,Oct-09,188.5
AAPL,Nov-09,199.91
AAPL,Dec-09,210.73
AAPL,Jan-10,192.06
AAPL,Feb-10,204.62
AAPL,Mar-10,223.02
CDL,Aug-08,169.53
CDL,Sep-08,113.66
CDL,Oct-08,107.59
CDL,Nov-08,92.67
CDL,Dec-08,85.35
CDL,Jan-09,90.13
CDL,Feb-09,89.31
CDL,Mar-09,105.12
CDL,Apr-09,125.83
CDL,May-09,135.81
CDL,Jun-09,142.43
CDL,Jul-09,163.39
CDL,Aug-09,168.21
CDL,Sep-09,185.35
CDL,Oct-09,188.5
CDL,Nov-09,199.91
CDL,Dec-09,210.73
CDL,Jan-10,192.06
CDL,Feb-10,204.62
CDL,Mar-10,223.02
DRM,Aug-09,168.21
DRM,Sep-09,185.35
DRM,Oct-09,188.5
DRM,Nov-09,199.91
DRM,Dec-09,210.73
DRM,Jan-10,192.06
DRM,Feb-10,204.62
DRM,Mar-10,223.02
